"Coefficients","Names"
0,"age"
0,"Gender.Male"
0.0821671910087747,"maxCCF"
0.484657884541082,"TP53"
0,"IDH1"
0,"SRSF2"
0,"DNMT3A"
-0.418440920922505,"FLT3"
0,"PTPN11"
0,"NRAS"
0,"IDH2"
0,"KRAS"
0,"ASXL1"
0,"TET2"
-0.183362398342102,"NPM1"
0,"WT1"
0,"RUNX1"
0.205725607170357,"FLT3.ITD"
0,"DISC_union.1"
0,"DISC_union.2"
0,"DISC_intersection.1"
0,"DISC_intersection.2"
0,"DISC_intersection.3"
0,"DISC_intersection.4"
0,"DISC_intersection.5"
0,"DISC_intersection.6"
0,"DISC_intersection.7"
0,"DISC_intersection.8"
0,"DISC_intersection.9"
0,"DISC_intersection.10"
0,"DISC_intersection.11"
0,"DISC_intersection.12"
0,"CASet_intersection.1"
0,"CASet_intersection.2"
0,"CASet_intersection.3"
0,"CASet_union.1"
0,"CASet_union.2"
0,"BD.1"
0,"BD.2"
0.332262239409733,"X1BD.1"
-0.374171505773802,"X1BD.2"
0,"X2BD.1"
0,"X2BD.2"
0,"AD.1"
0,"AD.2"
0,"CD.1"
0,"CD.2"
0,"PD.1"
0,"PD.2"
0,"PD.3"
0,"PD.4"
0,"PD.5"
0,"PD.6"
0,"PD.7"
0,"PCD.1"
0,"PCD.2"
0,"MLTD.1"
0,"MLTD.2"
0,"MP3_union.1"
0,"MP3_union.2"
0,"MP3_intersection.1"
0,"MP3_intersection.2"
