gene,coef,p,se(coef),coef lower 95%,coef upper 95%,z,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%
EZH2,1.3000378201096296,0.03375930167333612,0.6123775995374733,0.09979978007709,2.5002758601421693,2.122934968704838,3.6694354434457193,1.1049496629902054,12.185855088798773
GATA2,-0.4582811008944605,0.6536880162098682,1.021479019593779,-2.4603431902615513,1.5437809884726306,-0.4486446535893702,0.6323696915348986,0.08540563555482288,4.6822604172911735
TP53,1.0689273204851961,0.0027929324430699246,0.3575421015596569,0.3681576784715064,1.7696969624988859,2.9896544094313957,2.9122539087880153,1.4450698774202897,5.869074542188635
STAG2,-14.927305255846507,0.9947529850199398,2269.896426381546,-4463.842549599851,4433.987939088158,-0.006576205452529041,3.2896803273321053e-07,0.0,inf
IDH1,-0.02518817705710822,0.9481160003307807,0.3870766163816773,-0.7838444044228223,0.733468050308606,-0.06507284602351539,0.9751263983463925,0.4566470963644173,2.082289584938442
ETV6,1.677911206582012,0.10503273939010999,1.0351536636898426,-0.35095269271476703,3.7067751058787914,1.6209295928114063,5.354360130095847,0.7040170582036268,40.72226953692344
SRSF2,-0.5219869194382273,0.2006446557689775,0.40789243808789083,-1.3214414076567271,0.27746756878027257,-1.279717079054434,0.5933404562987825,0.2667505284705647,1.3197833162669654
U2AF1,-0.1875685868095355,0.7538603339347665,0.5982032001154259,-1.360025314472377,0.984888140853306,-0.31355329890134875,0.8289722596680665,0.25665427980364375,2.6775123634210454
DNMT3A,-0.10047358797372355,0.737474182889533,0.2997421611569226,-0.6879574284894926,0.48701025254204555,-0.3352000518910087,0.9044089993715736,0.5026016210801868,1.6274432947238575
SF3B1,0.5543066321188219,0.3569054180467558,0.6016715513502978,-0.6249479390501036,1.7335612032877474,0.9212777816648012,1.740733597474484,0.5352892954627854,5.66077723403143
FLT3,-1.053669710165279,0.02573504977770444,0.4724580693406937,-1.9796705102783663,-0.12766891005219183,-2.2301867161156865,0.3486559323824612,0.138114737200922,0.8801447379843537
PTPN11,-0.22600762698346527,0.5807962259294028,0.40926946898527217,-1.0281610461664314,0.5761457921995008,-0.5522220544420778,0.7977120175061049,0.3576640839124567,1.779167916198749
NRAS,-0.040491378451467316,0.8883219869979128,0.2883430190063909,-0.6056333108975418,0.5246505539946071,-0.1404278091801829,0.9603174438991717,0.545728701241836,1.68986822748831
CSF3R,-15.93345107889625,0.9959616347392173,3148.0560861161953,-6186.010001178762,6154.14309902097,-0.005061361882708256,1.2027908586703413e-07,0.0,inf
IDH2,-0.21243310879506283,0.5119794172727421,0.3239501371062468,-0.8473637103101191,0.4224974927199935,-0.655758663023472,0.8086144037042405,0.42854320810506136,1.5257673940725842
PPM1D,2.054829169329193,0.006088178324637951,0.7491190684716481,0.5865827749925681,3.5230755636658184,2.7429940790606935,7.8055043391926855,1.797834302055331,33.888494573445264
CBL,0.11028696722866325,0.913287353225602,1.0128011909428898,-1.8747668905186752,2.0953408249760015,0.10889300705303195,1.116598451650421,0.15339071950868882,8.128210795422294
MYC,1.8489107066824801,0.0757034989935782,1.040948697056486,-0.19131124930212806,3.8891326626670883,1.776178510920554,6.352895585479088,0.8258754949717785,48.86848267774167
KRAS,-0.00945340558527879,0.9827153470027296,0.4363487285345104,-0.8646811982127641,0.8457743870422066,-0.021664794617434365,0.9905911373818853,0.4211858060137899,2.3297812686199824
KIT,-1.0045203062766133,0.3206075501491793,1.0113874696225786,-2.9868033211519656,0.9777627085987388,-0.9932101557986199,0.36622026623909093,0.050448446720403495,2.658501740351659
PHF6,-0.31779822464634505,0.7534256746815313,1.0116916979639532,-2.3006775161138675,1.6650810668211775,-0.3141255634358959,0.7277496155370973,0.10019093974624044,5.286101759857646
ASXL1,-0.22292529786883808,0.636296385141323,0.4714170739639423,-1.14688578453542,0.7010351887977436,-0.4728833769094438,0.8001746218115102,0.3176243815232315,2.0158384010717465
BCOR,-13.919145961948061,0.9968961257725472,3578.0585286725286,-7026.78499673648,6998.946704812584,-0.003890139261392158,9.015539404816897e-07,0.0,inf
SETBP1,1.7212344930487649,0.0055369470156038355,0.6204853797724829,0.5051054957610408,2.937363490336489,2.7740129730049405,5.5914267829329765,1.6571603346302803,18.86604018667594
TET2,0.1414277239457027,0.745926753235614,0.43648524708386977,-0.7140676401217487,0.9969230880131541,0.3240149005964631,1.151917245218666,0.4896484275863386,2.70993076884371
NPM1,-0.613272338855739,0.03456253345076354,0.2901763618590939,-1.1820075572644253,-0.044537120447052714,-2.1134469221636203,0.5415757468979939,0.30666247773371536,0.9564400959507192
WT1,0.2332987432037274,0.5264802384147516,0.36833458923169954,-0.48862378595075856,0.9552212723582134,0.6333880933918256,1.2627586635525283,0.6134700796477635,2.599245660509665
RUNX1,0.24878227261365324,0.45518741916296257,0.333133363942967,-0.4041471227632363,0.9017116679905428,0.7467948261593071,1.2824627754017182,0.6675459028462093,2.4638167402099835
FLT3-ITD,0.3654390092966642,0.2203080761963537,0.2981449181924616,-0.21891429253420125,0.9497923111275296,1.2257093346154644,1.4411465460256145,0.8033905717729031,2.58517269195517
